timestamp,tweet_text,all_hashtags,target
2022-02-20 05:20:57+00:21,b'disappointed as i travelled 2 hours to get here from abu dhabi and marshmello came late',"['Dubai', 'DECArena', 'DubaiExpo', 'Expo2020', 'Dubai', 'ArabicKuthu', 'AnirudhRavichander', 'ani']",-1
2022-03-01 12:26:15+00:00,b'Sunday Blockbuster Movies on #GeminiTV   Sunday All time Hits...   #Venkatesh #Raaja 8:30am #RamPothineni #RED 12PM #Suriya #AakasameNeeHaadura 3pm   #WorldTelevisionPremiere #RajaVikramarka 6p.m https://t.co/SPDW2UTWHu',"['GeminiTV', 'Venkatesh', 'Raaja', 'RamPothineni', 'RED', 'Suriya', 'AakasameNeeHaadura', 'WorldTelevisionPremiere', 'RajaVikramarka']",0
2022-02-20 18:55:35+00:00,b'@shreyaghoshal is Unreal \xf0\x9f\x98\xad\xe2\x99\xa5\xef\xb8\x8f #ShreyaGhoshal #Expo2020 @expo2020dubai https://t.co/hthcnF9a6W',"['ShreyaGhoshal', 'Expo2020']",1
2022-02-20 18:57:01+00:00,b'@shreyaghoshal doing her photoshoot before going to stage #ShreyaGhoshal #Expo2020Dubai #Expo2020 #DubaiExpo2020 #toonme https://t.co/yRh1l9YSLS',"['ShreyaGhoshal', 'Expo2020Dubai', 'Expo2020', 'DubaiExpo2020', 'toonme']",0
2022-02-24 08:50:51+00:00,"b'Different cultures tell the story of the notes in their own language. The world met on the glorious stage. (https://t.co/udukq66BXF)via @YouTube ""Beyond The Stars"" by @SamiYusuf (Live at @expo2020dubai #SamiYusuf #BeyondTheStars #Expo2020 #liveConcert'","['SamiYusuf', 'BeyondTheStars', 'Expo2020', 'liveConcert']",1
2022-02-25 17:58:12+00:00,"b'\xf0\x9f\x92\x8e #SalmanKhan #Expo2020 #DubaiExpo2020 #dabanggtourreloaded ""Sadia https://t.co/C3sI0Vg8jY'","['SalmanKhan', 'Expo2020', 'DubaiExpo2020', 'dabanggtourreloaded']",0
2022-02-20 04:40:37+00:00,b'That guy was from Philippines and look what he has to say about our queen Shreya Ghoshal. \xf0\x9f\xa5\xb0 Even he loved the concert even without knowing the language.  THE SHREYA GHOSHAL \xe2\x9d\xa4\xef\xb8\x8f #ShreyaGhoshal #Expo2020 #Expo2020Dubai https://t.co/1rr0CA5Phm',"['ShreyaGhoshal', 'Expo2020', 'Expo2020Dubai']",1
2022-02-27 01:38:28+00:00,"b'\xe2\x80\x9cWe are the people of love.\xe2\x80\x9d Deep emotions!~\xe2\x99\xa1~ Majestically an amazing, indescribable, spiritual beauty! Sacred musical treasure! @SamiYusuf Outstandingly soothing, warmth, ethereal voices\xf0\x9f\x99\x8f\xf0\x9f\x92\x96\xf0\x9f\x94\xa5#TheFireWithin  https://t.co/YkVHKQb1t7 #SamiYusuf #Expo2020 https://t.co/nkzfBi80Xj'","['TheFireWithin', 'SamiYusuf', 'Expo2020']",1
2022-02-20 05:20:57+00:00,b'#Dubai !!!  @anirudhofficial performing at the #DECArena at the #DubaiExpo.   Get ready for some Arabic Kuthus. \xf0\x9f\x91\xaf  Tickets at: https://t.co/5TbaLaYllz  #Expo2020 #Dubai #ArabicKuthu @expo2020dubai #AnirudhRavichander #ani https://t.co/qm2RYGyHVF',"['Dubai', 'DECArena', 'DubaiExpo', 'Expo2020', 'Dubai', 'ArabicKuthu', 'AnirudhRavichander', 'ani']",0
2022-03-09 06:34:46+00:00,b'20 concerts to attend at Expo 2020 Dubai before it ends: Marshmello to Hussain Al Jassmi https://t.co/2GkyvcfAg1 via @TheNationalNews',[],1
2022-03-05 04:01:24+00:00,b'#AjithShalini \xf0\x9f\xa4\xa9\xf0\x9f\xa7\xbf  #Amarkalam #AjithKumar \xe2\x99\xa5\xef\xb8\x8f #ShaliniAjithKumar  Ajith \xc3\x97 #ilayaraja \xf0\x9f\x92\x9d  Dialogues-Music-Acting = \xf0\x9f\x92\x9c\xe2\x9c\xa8  Source: Youtube \xf0\x9f\x98\x8a Credits: AE\xf0\x9f\x92\xa5 https://t.co/T9llxWQ5kc',"['AjithShalini', 'Amarkalam', 'AjithKumar', 'ShaliniAjithKumar']",0
2022-02-27 06:55:42+00:00,"b'@ANI So UP kids get up. Sing in sync with this #ilayaraja song-"" Sorgame endraalum, Thamizh naatta pola varuma!""'",[],1
2022-02-27 13:52:19+00:00,"b""Raja's research on Bass Guitar is extensive and has given us innumerable masterpieces. They say Music is the highest form of meditation. Come... let us levitate.. #ilayaraja #EndrendrumRaja #BassGuitar #GuitarGanja https://t.co/h3BBPJfwO5""","['#ilayaraja', 'EndrendrumRaja', 'BassGuitar', 'GuitarGanja']",1
2022-03-07 11:10:31+00:00,b'This is pure gold \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 #ilayaraja #ARRahman https://t.co/BkEGfUt6df',"['#ilayaraja', 'ARRahman']",1
2022-02-25 18:32:03+00:00,b'This immortal piece took all the arts of the East and transcended the others This is a purely spiritual product that transcends human arts and a milestone in our concept and appreciation for music that left us this great legacy that humanity is proud of\xf0\x9f\x99\x8f\xf0\x9f\x92\x9e\xe2\x9c\xa8 @SamiYusuf #Expo2020 https://t.co/UhDfTRYtZE',['Expo2020'],1
2022-02-28 07:11:59+00:00,"b""@Ashok588500 One of balumahendra's bests..look out for the scene where the worker Pasi sathya bashing the contractor. Therikkum..  #ilayaraja's violin \xe2\x99\xa5\xef\xb8\x8f""",[],1
2022-02-25 13:32:51+00:00,b'Salman Khan with his niece Ayat The Rehersal Of Dabangg Tour #Expo2020 @BeingSalmanKhan #SalmanKhan https://t.co/0af6GiFIag',"['Expo2020', 'SalmanKhan']",0
2022-02-20 05:20:57+00:32,b'concert was great but the weather is bad. its hot and humid and with the crowd it gets suffocating',"['Dubai', 'DECArena', 'DubaiExpo', 'Expo2020', 'Dubai', 'ArabicKuthu', 'AnirudhRavichander', 'ani']",-1
2022-03-06 07:29:44+00:00,"b'While listening Nilave Vaa song, automatically tears rolling from eyes. We are missing the legend #SPB #ilayaraja #DubaiExpo2022'","['SPB', '#ilayaraja', 'DubaiExpo2022']",1
2022-02-26 04:13:46+00:00,"b""To all megastar #Salmankhan's fans you can watch the live performance of tonight now at #Expo2020 #Dubai on youtube link below:  https://t.co/yrF3b1agn7 Enjoy! @BeingSalmanKhan""","['Salmankhan', 'Expo2020', 'Dubai']",0
2022-02-25 17:51:56+00:00,b'Watch MEGASTAR #SalmanKhan\xf0\x93\x83\xb5 Performing LIVE at #Expo2020Dubai Here On YouTube On This Link!! #Expo2020   -&gt; https://t.co/wkrBjDW7b7',"['SalmanKhan𓃵', 'Expo2020Dubai', 'Expo2020']",0
2022-02-20 16:38:10+00:00,b'Queenie Mass\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5live performance at Dubai\xf0\x9f\xa5\xb3\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb .  @shreyaghoshal  .  #Expo2020  #ShreyaGhoshal  #ShreyaGhoshalLiveInDubai  .  #Sgfamily #Teamshreya #Sgians  Shreyaghoshal x Expo2020 https://t.co/0CCX1P5m0k',"['Expo2020', 'ShreyaGhoshal', 'ShreyaGhoshalLiveInDubai', 'Sgfamily', 'Teamshreya', 'Sgians']",1
2022-03-06 09:13:05+00:00,b'@krishtangirala \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 \xe0\xb0\x85\xe0\xb0\xa6\xe0\xb0\xbf \xe0\xb0\x9a\xe0\xb1\x82\xe0\xb0\xb8\xe0\xb0\xbe\xe0\xb0\xa8\xe0\xb0\x82\xe0\xb0\xa1\xe0\xb0\xbf. I meant the things #ilayaraja said about SPB\xf0\x9f\x99\x82',[],0
2022-02-28 10:23:54+00:00,b'. @tamiltalkies   #ilayaraja has announced that he is bringing out part 2 of his famous album from 1986 How to Name It.  https://t.co/cuLiBk5GbA',[],1
2022-03-05 07:06:38+00:00,"b'@Vasheegaran @Sloshed187 Never heard this before, I need to dig more to know the #ilayaraja\xe2\x80\x99s treasures . thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/dCIlVkN1Mp'",[],1
2022-03-07 09:44:49+00:00,b'Massive announcement \xe2\x9d\xa4\xef\xb8\x8f Would be delighted if #kalaignani also joins for vocal #KamalHaasan\xf0\x93\x83\xb5   #ilayaraja #ARRahman \xf0\x9f\xa4\x9d https://t.co/WB3FBQg9pG',"['kalaignani', 'KamalHaasan𓃵', '#ilayaraja', 'ARRahman']",0
2022-03-05 17:05:18+00:00,b'Started #RajaConcert #Expo2020 https://t.co/6w9NbiRxyL',"['RajaConcert', 'Expo2020']",0
2022-02-26 03:12:08+00:00,b'.#AyushSharma\xe2\x80\x99s dhamakedar entry on bicycle at #DabanggTheTourReloaded. Checkout his romantic performance with @saieemmanjrekar.  @expo2020dubai #Expo2020 #Dubai @BToSproductions  @SohailKhan @hegdepooja #dubaiexpo2020 #salmankhan #aayushsharma  https://t.co/iUENK1GSR2',"['AyushSharma', 'DabanggTheTourReloaded', 'Expo2020', 'Dubai', 'dubaiexpo2020', 'salmankhan', 'aayushsharma']",1
2022-02-25 20:21:41+00:00,"b""You can't get your eyes off @hegdepooja as she performs on #ChittiyaanKalaiyaan song. What a dhamakedar performance!  #DabanggTheTourReloaded @expo2020dubai #Expo2020 #Dubai @BToSproductions @theJAEvents @SohailKhan #dubaiexpo2020 #salmankhan #dishapatani #poojahegde https://t.co/TATNehRdlY""","['ChittiyaanKalaiyaan', 'DabanggTheTourReloaded', 'Expo2020', 'Dubai', 'dubaiexpo2020', 'salmankhan', 'dishapatani', 'poojahegde']",1
2022-02-25 17:53:27+00:00,b'Handsome &amp; wonderful @BeingSalmanKhan \xf0\x9f\x98\x83 #DabanggTourReloaded #SalmanKhan #Expo2020 https://t.co/TLoj3IRp3O',"['DabanggTourReloaded', 'SalmanKhan', 'Expo2020']",1
2022-02-20 05:20:57+00:23,b'unlucky was not able to buy ticket to coldplay',"['Dubai', 'DECArena', 'DubaiExpo', 'Expo2020', 'Dubai', 'ArabicKuthu', 'AnirudhRavichander', 'ani']",-1
2022-03-07 04:03:55+00:00,b'What a fantastic reproduction of Punnagai Mannan theme (Dance Master).  Dubayees could have enjoyed this.  For those who do not know this..  @arrahman  worked as keyboard programmer for this BGM.  #RAAJA #liveatdubai. Follow the link   https://t.co/IMDPKsHz3U',"['RAAJA', 'liveatdubai']",1
2022-03-05 20:06:46+00:00,b'4 frames of breathtaking music. For 20 seconds of a song  in a movie with 5 other songs.  And 1400 other such movies.  Limitless thy name is Raaja.  #OhPriyaPriya #Geethanjali #Raaja #DubaiExpo2022',"['OhPriyaPriya', 'Geethanjali', 'Raaja', 'DubaiExpo2022']",1
2022-02-20 05:20:57+00:14,b'walked 20 mins to jubilee stage only to not get entry in. horrible experience had to wait outside and attend the performance',"['Dubai', 'DECArena', 'DubaiExpo', 'Expo2020', 'Dubai', 'ArabicKuthu', 'AnirudhRavichander', 'ani']",-1
2022-02-26 03:09:12+00:00,b'ROCKING!! @BeingSalmanKhan performs on #SlowMotion at #DabanggTheTourReloaded.  @expo2020dubai #Expo2020 #Dubai @BToSproductions @theJAEvents @SohailKhan @hegdepooja @DishPatani @saieemmanjrekar #dubaiexpo2020 #salmankhan #sonakshisinha #dishapatani  https://t.co/xUAKN3D4Jn',"['SlowMotion', 'DabanggTheTourReloaded', 'Expo2020', 'Dubai', 'dubaiexpo2020', 'salmankhan', 'sonakshisinha', 'dishapatani']",1
2022-02-25 20:01:48+00:00,b'Love you SALMAN \xf0\x9f\x92\x9d\xf0\x9f\x98\x98\xf0\x9f\x98\xad\xf0\x9f\xa5\xba\xf0\x9f\x92\x9d  #SalmanKhan\xf0\x93\x83\xb5 #Expo2020  #DabanggTheTourReloaded https://t.co/I9ROSZcuHu',"['SalmanKhan𓃵', 'Expo2020', 'DabanggTheTourReloaded']",1
2022-02-27 19:22:29+00:00,"b""@paramporul @vbss75 @vrsaran Prakash Raj announced in the Jaya TV program years back and I've captured that in the GA thread of forum in this post:  https://t.co/ojCrxZAUir""",[],1
2022-02-25 18:43:34+00:00,b'MEGASTAR #SalmanKhan\xf0\x93\x83\xb5 has arrived \xf0\x9f\x98\x8d\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x92\xa5\xf0\x9f\x91\x91\xf0\x9f\x92\x96  #Expo2020Dubai  #Expo2020  #dabanggtourreloaded https://t.co/9fM3bioBn3',"['SalmanKhan𓃵', 'Expo2020Dubai', 'Expo2020', 'dabanggtourreloaded']",1
2022-02-23 19:57:27+00:00,b'Rockstar @anirudhofficial singing #ArabicKuthu now at #Expo2020   #Beast @actorvijay   https://t.co/r4HJAHqtWk',"['ArabicKuthu', 'Expo2020', 'Beast']",0
2022-03-09 13:48:48+00:00,b'US DJ Marshmello to perform at Expo 2020 Dubai   https://t.co/52q4z2havS https://t.co/E72RpP9WsY',[],0
2022-02-27 15:06:38+00:00,"b""#SalmanKhan 's Picture On Main Expo Dome Screen In UAE  #Expo2020 #SalmanKhan\xf0\x93\x83\xb5  #Expo2020Dubai @BeingSalmanKhan https://t.co/csfDupIu6Y""","['SalmanKhan', 'Expo2020', 'SalmanKhan𓃵', 'Expo2020Dubai']",1
2022-03-10 09:59:17+00:00,b'peeps in dubai get hyped (OMG \xf0\x9f\x98\xb1) for marshmello but say \xe2\x80\x98ew\xe2\x80\x99 (nice \xf0\x9f\x99\x82) when you tell them you make electronic music LMFAO \xf0\x9f\x92\x80',[],-1
2022-02-25 12:38:42+00:00,"b'#SalmanKhan\xf0\x93\x83\xb5 tweets , Looking fwd to perform in dubai yet again tonite for the #dabanggtourreloaded at the #Expo2020.. 9pm at the DEC Arena @expo2020dubai #Dubai @theJAEvents @SohailKhan @BeingSalmanKhan #Whatsthegup https://t.co/7PaYNfTqKJ'","['SalmanKhan𓃵', 'dabanggtourreloaded', 'Expo2020', 'Dubai', 'Whatsthegup']",0
2022-02-25 18:36:57+00:00,b'Fans go crazy as @DishPatani performs at #DabanggTheTourReloaded.  @expo2020dubai #Expo2020 #Dubai @BToSproductions @theJAEvents @SohailKhan @hegdepooja @saieemmanjrekar @gururandhawa #dubaiexpo2020 #salmankhan #sonakshisinha #dishapatani #poojahegde #saieemanjrekar #GuruRandhawa https://t.co/PqW2cS5QnL',"['DabanggTheTourReloaded', 'Expo2020', 'Dubai', 'dubaiexpo2020', 'salmankhan', 'sonakshisinha', 'dishapatani', 'poojahegde', 'saieemanjrekar', 'GuruRandhawa']",1
2022-03-06 08:42:37+00:00,b'Every time I hear #ilayaraja speak in Tamil about music I regret not knowing Tamil \xf0\x9f\xa5\xba Can any kind soul add subtitles to this and share please \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/GIC9TmRwkS',[],1
2022-03-04 08:23:48+00:00,"b'Veetla Visheshanga Movie Songs | Malare Thendral Song | K Bhagyaraj | Pr... https://t.co/ZxGR8CgO4Z via @YouTube  Top notch song, Raja Raja thaan, hall of fame, forever etched in the name of music, the great #ilayaraja sir    @thisisysr'",[],1
2022-02-21 10:00:30+00:00,b'When you are called on stage but have to wait for your chance- @shreyaghoshal #ShreyaGhoshal #DubaiExpo2020 #Expo2020Dubai #Expo2020 https://t.co/HKNRCG4wOH',"['ShreyaGhoshal', 'DubaiExpo2020', 'Expo2020Dubai', 'Expo2020']",0
2022-03-08 15:28:23+00:00,"b""The international star will take to @expo2020dubai's Jubilee Stage on March 10. @marshmellomusic  https://t.co/WtpBjRKJAs""",[],1
2022-02-28 16:49:45+00:00,b'25 years of #yuvanshankarraja @thisisysr #yuvan #yuvansongs #yuvanbgm #u1songs #u1 #ilayaraja #bgmking #tamilcinema #tamilcinemaupdates #tamilcinemanews https://t.co/lW37sB6DvP',"['yuvanshankarraja', 'yuvan', 'yuvansongs', 'yuvanbgm', 'u1songs', 'u1', '#ilayaraja', 'bgmking', 'tamilcinema', 'tamilcinemaupdates', 'tamilcinemanews']",0
2022-02-25 17:09:31+00:00,b'Watch Our MEGASTAR #SalmanKhan\xf0\x93\x83\xb5 Performing LIVE at #Expo2020Dubai Here On YouTube On This Link!! #Expo2020   -&gt; https://t.co/wJUKX0b91w  Credit - @i_yogesh22',"['SalmanKhan𓃵', 'Expo2020Dubai', 'Expo2020']",0
2022-03-02 18:24:22+00:00,"b'I used to keep count of how many people who worked in Hey Ram won National awards pre and post,   Kamal Haasan Sarika #ilayaraja Naseeruddin Shah Om Puri  Renu Saluja Girish Karnad Saurabh Shukla  Sabu Cyril  Tirru Vikram Gokhale  Most cred in an Indian film possibly. https://t.co/yPrkLFE8dG'",[],0
2022-02-26 22:09:07+00:00,b'No one can compete with you #SalmanKhan \xf0\x9f\x99\x8f @BeingSalmanKhan  #expo2020 #DabanggTheTourReloaded https://t.co/3WdXvDP1Ug',"['SalmanKhan', 'expo2020', 'DabanggTheTourReloaded']",1
2022-03-05 14:30:24+00:00,b'#Expo2020 Still 2.5 hours left for the show. #ilayaraja https://t.co/hODr5PrjrD',"['Expo2020', '#ilayaraja']",0
2022-03-07 08:36:09+00:00,b'This tweets between #ilayaraja &amp; #ARRahman  itself each 5 albums worth of masterpiece - gonna be evergreen moments:))  thank you @jack !! (CEO maarnalum paravalla)',"['#ilayaraja', 'ARRahman']",1
2022-02-20 06:39:45+00:00,b'Queen live in concert!! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f @shreyaghoshal #Expo2020 https://t.co/lGLBBLqmuz',['Expo2020'],1
2022-02-23 16:55:27+00:00,b'LIVE NOW : @anirudhofficial Live concert https://t.co/4BUculaJnV   @expo2020dubai #Expo2020  #Dubai',"['Expo2020', 'Dubai']",0
2022-02-25 19:52:39+00:00,b'Amazing @BeingSalmanKhan \xf0\x9f\x98\x83 #Salmankhan #DabanggTourReloaded #Expo2020 https://t.co/4TwtMeLRTi',"['Salmankhan', 'DabanggTourReloaded', 'Expo2020']",1
2022-03-07 10:00:04+00:00,b'Recent Pic of #ilayaraja with #ARRahman!! https://t.co/N48rzHmupX',"['#ilayaraja', 'ARRahman']",0
2022-02-28 03:08:36+00:00,"b'One of the rare 90s song sung by both SPB and KJ Yesudas..one of the Tamil radio here played it, upon googling found MD is not #ilayaraja..but its so nice. Its from the movie Gowrie Manohari (naanum kelvipattadhu illa )  https://t.co/rKSGR9uRdT'",[],1
